#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Streptococcus	Unknown	SCAID PHRX1-2021	NZ_CP082820.1	532545	543412	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP082820.1&start=532545&end=543412
Streptococcus	Unknown	SCAID PHRX1-2021	NZ_CP082820.1	1558673	1599846	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP082820.1&start=1558673&end=1599846
Streptococcus	Unknown	SCAID PHRX1-2021	NZ_CP082820.1	1762069	1785060	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP082820.1&start=1762069&end=1785060
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000001.1	119132	160305	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000001.1&start=119132&end=160305
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000002.1	20502	36034	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000002.1&start=20502&end=36034
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000002.1	159902	170202	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000002.1&start=159902&end=170202
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000003.1	60504	70792	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000003.1&start=60504&end=70792
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000003.1	120061	137998	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000003.1&start=120061&end=137998
Streptococcus	Unknown	2842STDY5644571	NZ_FDSO01000006.1	68405	78702	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FDSO01000006.1&start=68405&end=78702
Streptococcus	Unknown	NCTC13744	NZ_LS483407.1	387832	412238	ripp-like	false	ubericin K	25	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483407.1&start=387832&end=412238
Streptococcus	Unknown	NCTC13744	NZ_LS483407.1	551376	575143	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483407.1&start=551376&end=575143
Streptococcus	Unknown	NCTC13744	NZ_LS483407.1	671915	713091	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483407.1&start=671915&end=713091
Streptococcus	Unknown	NCTC13744	NZ_LS483407.1	1554517	1577352	lanthipeptide-class-ii	false	salivaricin A	87	BGC0000548	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483407.1&start=1554517&end=1577352
Streptococcus	Unknown	1001254J_160919_B12	NZ_JADMUA010000001.1	297993	339166	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADMUA010000001.1&start=297993&end=339166
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000010.1	1418	20261	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000010.1&start=1418&end=20261
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000012.1	40785	62174	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000012.1&start=40785&end=62174
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000001.1	73981	86078	ripp-like	false	quinolidomicin A	3	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000001.1&start=73981&end=86078
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000022.1	0	27469	lap	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000022.1&start=0&end=27469
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000005.1	75150	85447	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000005.1&start=75150&end=85447
Streptococcus	Unknown	D6t1_180914_F9	NZ_JADNKM010000006.1	50860	73285	ras-ripp	false	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADNKM010000006.1&start=50860&end=73285
Streptococcus	Unknown	FDAARGOS_1357	NZ_CP069892.1	964682	976836	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP069892.1&start=964682&end=976836
Streptococcus	Unknown	FDAARGOS_1357	NZ_CP069892.1	1340967	1382140	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP069892.1&start=1340967&end=1382140
Streptococcus	Unknown	Colony573	NZ_CP070236.1	444861	505848	t3pks nrps hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070236.1&start=444861&end=505848
Streptococcus	Unknown	Colony573	NZ_CP070236.1	1576173	1599944	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070236.1&start=1576173&end=1599944
Streptococcus	Unknown	A16000180	NZ_JAKUWF010000001.1	169429	179726	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWF010000001.1&start=169429&end=179726
Streptococcus	Unknown	A16000180	NZ_JAKUWF010000001.1	726610	767783	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWF010000001.1&start=726610&end=767783
Streptococcus	Unknown	A16000180	NZ_JAKUWF010000002.1	108026	120180	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWF010000002.1&start=108026&end=120180
Streptococcus	Unknown	A12048293	NZ_JAKUWQ010000001.1	32832	74005	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWQ010000001.1&start=32832&end=74005
Streptococcus	Unknown	A12048293	NZ_JAKUWQ010000004.1	120289	130574	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWQ010000004.1&start=120289&end=130574
Streptococcus	Unknown	A12048293	NZ_JAKUWQ010000006.1	89676	101830	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWQ010000006.1&start=89676&end=101830
Streptococcus	Unknown	K13014465	NZ_JAKUYZ010000001.1	5394	17548	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUYZ010000001.1&start=5394&end=17548
Streptococcus	Unknown	1001175st1_H3	NZ_SPGE01000011.1	45734	57831	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_SPGE01000011.1&start=45734&end=57831
Streptococcus	Unknown	1001175st1_H3	NZ_SPGE01000013.1	0	14311	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_SPGE01000013.1&start=0&end=14311
Streptococcus	Unknown	1001175st1_H3	NZ_SPGE01000005.1	80222	121389	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_SPGE01000005.1&start=80222&end=121389
Streptococcus	Unknown	1001175st1_H3	NZ_SPGE01000007.1	0	8709	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_SPGE01000007.1&start=0&end=8709
Streptococcus	Unknown	HL_98_2	NZ_CP053789.1	1137814	1178996	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053789.1&start=1137814&end=1178996
Streptococcus	Unknown	HL_98_2	NZ_CP053789.1	1285487	1309250	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053789.1&start=1285487&end=1309250
Streptococcus	Unknown	GX69	NZ_CP071806.1	1717148	1758303	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP071806.1&start=1717148&end=1758303
Streptococcus	Unknown	k-402	NZ_VMNB01000001.1	25153	37307	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMNB01000001.1&start=25153&end=37307
Streptococcus	Unknown	k-402	NZ_VMNB01000010.1	50213	71347	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMNB01000010.1&start=50213&end=71347
Streptococcus	Unknown	k-402	NZ_VMNB01000003.1	199154	223901	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMNB01000003.1&start=199154&end=223901
Streptococcus	Unknown	k-402	NZ_VMNB01000003.1	315616	325913	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMNB01000003.1&start=315616&end=325913
Streptococcus	Unknown	k-402	NZ_VMNB01000007.1	39719	80892	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMNB01000007.1&start=39719&end=80892
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000010.1	20643	47146	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000010.1&start=20643&end=47146
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000014.1	0	29594	nrps nrps-like hybrid	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000014.1&start=0&end=29594
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000001.1	53698	67284	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000001.1&start=53698&end=67284
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000001.1	190136	200343	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000001.1&start=190136&end=200343
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000002.1	102960	125459	ras-ripp rre-containing hybrid	false	tryglysin B	100	BGC0002583	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000002.1&start=102960&end=125459
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000003.1	147085	174136	nrps	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000003.1&start=147085&end=174136
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000004.1	26257	36706	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000004.1&start=26257&end=36706
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000005.1	115405	125687	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000005.1&start=115405&end=125687
Streptococcus	Unknown	1001174st1_D8_RTP21191_200730	NZ_JAQMKE010000007.1	8972	50148	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMKE010000007.1&start=8972&end=50148
Peptostreptococcus	Unknown	J1101312st1_D9_J1101312_190322	NZ_JAQMNI010000010.1	17578	38952	ranthipeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMNI010000010.1&start=17578&end=38952
Peptostreptococcus	Unknown	J1101312st1_D9_J1101312_190322	NZ_JAQMNI010000012.1	32997	53141	ranthipeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMNI010000012.1&start=32997&end=53141
Peptostreptococcus	Unknown	J1101312st1_D9_J1101312_190322	NZ_JAQMNI010000015.1	22187	47321	nrps	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMNI010000015.1&start=22187&end=47321
Peptostreptococcus	Unknown	J1101312st1_D9_J1101312_190322	NZ_JAQMNI010000020.1	0	36429	nrps-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQMNI010000020.1&start=0&end=36429
Streptococcus	uberis	0140J	NC_012004.1	37851	48082	ripp-like	false	uberolysin	85	BGC0000494	https://antismash-db.secondarymetabolites.org/area?record=NC_012004.1&start=37851&end=48082
Streptococcus	uberis	0140J	NC_012004.1	474630	488091	ripp-like	false	ubericin K	68	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NC_012004.1&start=474630&end=488091
Streptococcus	uberis	0140J	NC_012004.1	729250	770426	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_012004.1&start=729250&end=770426
Streptococcus	uberis	0140J	NC_012004.1	1392560	1402761	ripp-like	false	iturin	22	BGC0001098	https://antismash-db.secondarymetabolites.org/area?record=NC_012004.1&start=1392560&end=1402761
Streptococcus	equinus	ATCC 700338	NZ_GL397128.1	1147354	1188533	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_GL397128.1&start=1147354&end=1188533
Streptococcus	equinus	ATCC 700338	NZ_GL397128.1	1829459	1843367	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_GL397128.1&start=1829459&end=1843367
Streptococcus	sanguinis	CCUG 59326	NZ_GL872314.1	192069	233248	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_GL872314.1&start=192069&end=233248
Streptococcus	thermophilus	JIM 8232	NC_017581.1	92197	134696	hgle-ks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=92197&end=134696
Streptococcus	thermophilus	JIM 8232	NC_017581.1	288360	331252	nrps-like	false	asukamycin	4	BGC0000187	https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=288360&end=331252
Streptococcus	thermophilus	JIM 8232	NC_017581.1	588051	609185	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=588051&end=609185
Streptococcus	thermophilus	JIM 8232	NC_017581.1	927995	951037	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=927995&end=951037
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1326423	1348848	ras-ripp	false	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=1326423&end=1348848
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1485241	1507533	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=1485241&end=1507533
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1601884	1617263	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=1601884&end=1617263
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1850408	1872710	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017581.1&start=1850408&end=1872710
Streptococcus	pasteurianus	ATCC 43144	NC_015600.1	1131828	1157862	lanthipeptide-class-i	false	suicin 90-1330	100	BGC0001789	https://antismash-db.secondarymetabolites.org/area?record=NC_015600.1&start=1131828&end=1157862
Streptococcus	pasteurianus	ATCC 43144	NC_015600.1	1194074	1235253	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_015600.1&start=1194074&end=1235253
Streptococcus	anginosus	C1051	NC_022244.1	139935	181108	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_022244.1&start=139935&end=181108
Streptococcus	anginosus	C1051	NC_022244.1	546610	567017	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_022244.1&start=546610&end=567017
Streptococcus	Unknown	I-G2	NC_022584.1	623226	645779	sactipeptide ras-ripp hybrid	false	macedocin	14	BGC0000526	https://antismash-db.secondarymetabolites.org/area?record=NC_022584.1&start=623226&end=645779
Streptococcus	Unknown	I-G2	NC_022584.1	1212452	1253631	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_022584.1&start=1212452&end=1253631
Streptococcus	Unknown	I-G2	NC_022584.1	1478862	1491016	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_022584.1&start=1478862&end=1491016
Streptococcus	Unknown	SMRU924	NZ_CKPP01000002.1	30763	71936	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000002.1&start=30763&end=71936
Streptococcus	Unknown	SMRU924	NZ_CKPP01000013.1	20359	31226	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000013.1&start=20359&end=31226
Streptococcus	Unknown	SMRU924	NZ_CKPP01000017.1	0	8420	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000017.1&start=0&end=8420
Streptococcus	Unknown	SMRU924	NZ_CKPP01000022.1	9799	32301	lanthipeptide-class-iv	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000022.1&start=9799&end=32301
Streptococcus	Unknown	SMRU924	NZ_CKPP01000029.1	0	13618	lanthipeptide-class-iv	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000029.1&start=0&end=13618
Streptococcus	Unknown	SMRU924	NZ_CKPP01000046.1	0	5312	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKPP01000046.1&start=0&end=5312
Streptococcus	Unknown	89a	NZ_LKPC01000001.1	266629	307802	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LKPC01000001.1&start=266629&end=307802
Streptococcus	Unknown	89a	NZ_LKPC01000003.1	175485	185677	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LKPC01000003.1&start=175485&end=185677
Streptococcus	Unknown	89a	NZ_LKPC01000004.1	115613	127767	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LKPC01000004.1&start=115613&end=127767
Streptococcus	Unknown	HMSC078H03	NZ_KV794078.1	10939	23036	ripp-like	false	quinolidomicin A	3	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_KV794078.1&start=10939&end=23036
Streptococcus	Unknown	HMSC078H03	NZ_KV794107.1	33745	43946	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV794107.1&start=33745&end=43946
Streptococcus	Unknown	HMSC078H03	NZ_KV794107.1	109373	128216	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV794107.1&start=109373&end=128216
Streptococcus	Unknown	HMSC078H03	NZ_KV794113.1	295793	336960	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV794113.1&start=295793&end=336960
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	370464	382753	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=370464&end=382753
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	435336	445471	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=435336&end=445471
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	873053	900089	lanthipeptide-class-ii	false	BHT-Aα/BHT-Aβ	100	BGC0000497	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=873053&end=900089
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	910360	933013	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=910360&end=933013
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	1086691	1096886	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=1086691&end=1096886
Streptococcus	Unknown	ATCC 31377	NZ_CP043405.1	1654171	1699386	t3pks ripp-like hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP043405.1&start=1654171&end=1699386
Streptococcus	Unknown	BIOML-A5	NZ_WMZF01000002.1	0	37171	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_WMZF01000002.1&start=0&end=37171
Streptococcus	Unknown	9903	NZ_VMLI01000023.1	40413	88652	ras-ripp t3pks hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLI01000023.1&start=40413&end=88652
Streptococcus	Unknown	9903	NZ_VMLI01000004.1	49713	91721	ripp-like lanthipeptide-class-ii hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLI01000004.1&start=49713&end=91721
Streptococcus	Unknown	9903	NZ_VMLI01000009.1	15209	34534	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLI01000009.1&start=15209&end=34534
Streptococcus	Unknown	1453	NZ_VMLZ01000020.1	36190	48344	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000020.1&start=36190&end=48344
Streptococcus	Unknown	1453	NZ_VMLZ01000022.1	45743	56040	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000022.1&start=45743&end=56040
Streptococcus	Unknown	1453	NZ_VMLZ01000005.1	60559	75589	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000005.1&start=60559&end=75589
Streptococcus	Unknown	1453	NZ_VMLZ01000005.1	88511	111028	lanthipeptide-class-iv	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000005.1&start=88511&end=111028
Streptococcus	Unknown	1453	NZ_VMLZ01000005.1	397163	409698	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000005.1&start=397163&end=409698
Streptococcus	Unknown	1453	NZ_VMLZ01000006.1	189561	200794	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000006.1&start=189561&end=200794
Streptococcus	Unknown	1453	NZ_VMLZ01000008.1	26921	68094	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMLZ01000008.1&start=26921&end=68094
Streptococcus	Unknown	SP0816-2	NZ_JACEGE010000002.1	34040	75213	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JACEGE010000002.1&start=34040&end=75213
Streptococcus	Unknown	SP0816-2	NZ_JACEGE010000020.1	28393	52164	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_JACEGE010000020.1&start=28393&end=52164
Streptococcus	Unknown	SP0816-2	NZ_JACEGE010000026.1	0	34783	nrps	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JACEGE010000026.1&start=0&end=34783
Streptococcus	Unknown	1001713B170207_170306_C3	NZ_JADMRL010000003.1	174377	186531	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADMRL010000003.1&start=174377&end=186531
Streptococcus	Unknown	1001713B170207_170306_C3	NZ_JADMRL010000004.1	62298	104491	arylpolyene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADMRL010000004.1&start=62298&end=104491
Streptococcus	Unknown	1001713B170207_170306_C3	NZ_JADMRL010000004.1	129920	140226	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADMRL010000004.1&start=129920&end=140226
Streptococcus	Unknown	1001713B170207_170306_C3	NZ_JADMRL010000005.1	69015	110194	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADMRL010000005.1&start=69015&end=110194
Streptococcus	Unknown	GUT-189	NZ_AP025333.1	49376	61530	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP025333.1&start=49376&end=61530
Streptococcus	Unknown	GUT-189	NZ_AP025333.1	462572	503730	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP025333.1&start=462572&end=503730
Streptococcus	Unknown	GUT-189	NZ_AP025333.1	913881	929770	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP025333.1&start=913881&end=929770
Streptococcus	Unknown	GUT-189	NZ_AP025333.1	1981384	2001663	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP025333.1&start=1981384&end=2001663
Streptococcus	Unknown	S52	NZ_JALDUD010000010.1	24285	47066	lanthipeptide-class-ii	false	suicin 65	100	BGC0001788	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000010.1&start=24285&end=47066
Streptococcus	Unknown	S52	NZ_JALDUD010000014.1	0	8136	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000014.1&start=0&end=8136
Streptococcus	Unknown	S52	NZ_JALDUD010000015.1	9055	23777	lanthipeptide-class-ii	true	salivaricin A	25	BGC0000548	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000015.1&start=9055&end=23777
Streptococcus	Unknown	S52	NZ_JALDUD010000001.1	27612	68779	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000001.1&start=27612&end=68779
Streptococcus	Unknown	S52	NZ_JALDUD010000002.1	119997	138837	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000002.1&start=119997&end=138837
Streptococcus	Unknown	S52	NZ_JALDUD010000005.1	75373	87470	ripp-like	false	quinolidomicin A	3	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUD010000005.1&start=75373&end=87470
Streptococcus	Unknown	O7-2	NZ_JALDVU010000001.1	173217	225248	nrps-like ripp-like hybrid	false	thermophilin 1277	25	BGC0000561	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000001.1&start=173217&end=225248
Streptococcus	Unknown	O7-2	NZ_JALDVU010000002.1	172803	213976	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000002.1&start=172803&end=213976
Streptococcus	Unknown	O7-2	NZ_JALDVU010000003.1	135915	146200	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000003.1&start=135915&end=146200
Streptococcus	Unknown	O7-2	NZ_JALDVU010000003.1	224184	245078	furan	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000003.1&start=224184&end=245078
Streptococcus	Unknown	O7-2	NZ_JALDVU010000004.1	24700	34928	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000004.1&start=24700&end=34928
Streptococcus	Unknown	O7-2	NZ_JALDVU010000009.1	28206	40360	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVU010000009.1&start=28206&end=40360
Streptococcus	Unknown	DNS20	NZ_CP102145.1	1419673	1429967	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP102145.1&start=1419673&end=1429967
Streptococcus	Unknown	DNS20	NZ_CP102145.1	1965829	2006987	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP102145.1&start=1965829&end=2006987
Streptococcus	Unknown	DNS20	NZ_CP102146.1	0	11378	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP102146.1&start=0&end=11378
Streptococcus	Unknown	AF07-10B	NZ_JAQCQD010000002.1	336066	377245	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQCQD010000002.1&start=336066&end=377245
Streptococcus	Unknown	AF07-10B	NZ_JAQCQD010000003.1	220285	243258	lanthipeptide-class-ii	false	carnolysin A1/carnolysin A2	57	BGC0000500	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQCQD010000003.1&start=220285&end=243258
Streptococcus	Unknown	AF07-10B	NZ_JAQCQD010000004.1	152665	163910	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQCQD010000004.1&start=152665&end=163910
Streptococcus	Unknown	AF07-10B	NZ_JAQCQD010000008.1	5984	18138	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQCQD010000008.1&start=5984&end=18138
Streptococcus	Unknown	C14257	NZ_FIYU01000001.1	204778	215066	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIYU01000001.1&start=204778&end=215066
Streptococcus	Unknown	C14257	NZ_FIYU01000004.1	0	21657	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIYU01000004.1&start=0&end=21657
